song_title,emotion,file_path
Agar_Ho_Tum_-_Lyric,romantic,"Agar_Ho_Tum_-_Lyric_Video_Mr.__Mrs._Mahi_Rajkummar,_Janhvi___Tanishk,Jubin(256k).mp3"
Akhiyaan_Gulaab__Lyrics___Shahid_Kapoor,romantic,"Akhiyaan_Gulaab__Lyrics___Shahid_Kapoor,_Kriti_Sanon___Mitraz___Teri_Baaton_Mein_Aisa_Uljha_Jiya(256k).mp3"
Angaaron__The_Couple_Song__Lyrical,romantic,"Angaaron__The_Couple_Song__Lyrical___Pushpa_2_The_Rule___Allu_Arjun__Rashmika__Sukumar__DSP,_Shreya(256k).mp3"
Apna_Bana_Le_,romantic,"Apna_Bana_Le_-_Full_Audio___Bhediya___Varun_Dhawan,_Kriti_Sanon__Sachin-Jigar,Arijit_Singh,Amitabh_B(256k).mp3"
Assi_Sajna_-_Official_Lyric,romantic,"Assi_Sajna_-_Official_Lyric_Video___Jasleen_Royal(256k).mp3"
Badshah_X_Arijit_Singh_-_Soulmate__Official_Lyric,romantic,"Badshah_X_Arijit_Singh_-_Soulmate__Official_Lyric_Video____EK_THA_RAJA(256k).mp3"
Badtameez_Dil_Full_Song_With_Lyrics,romantic,"Badtameez_Dil_Full_Song_With_Lyrics_Yeh_Jawaani_Hai_Deewani___Ranbir_Kapoor,_Deepika_Padukone(256k).mp3"
Bombay_The_Artist,romantic,"Bombay_The_Artist,_Charan_-_Vekh_Sohneyaa__Lyric_Video_(256k).mp3"
Buddhu_Sa_Mann_Lyric,romantic,"Buddhu_Sa_Mann_Lyric_Video_–_Kapoor___Sons___Sidharth___Alia___Fawad___Rishi_Kapoor___Armaan___Amaal(256k).mp3"
Darshan_Raval_-_Mannat_Official_Lyrical,romantic,"Darshan_Raval_-_Mannat_Official_Lyrical_Video_(256k).mp3"
Daru_Desi__Full_Video_Songt,romanticy,"Daru_Desi__Full_Video_Song____Cocktail___Saif_Ali_Khan,_Deepika_Padukone___Diana_Penty___Pritam(256k).mp3"
Deva_Deva_-_Lyrical,romantic,"Deva_Deva_-_Lyrical_Song___Brahmāstra___Arijit_Singh,_Jonita_Gandhi___Ranbir_K,_Alia_Bhatt___Pritam(256k).mp3"
Dil_Jhoom___Gadar_2___Arijit_Singh_,romantic,"Dil_Jhoom___Gadar_2___Arijit_Singh___Sunny_Deol,_Utkarsh_Sharma,_Simratt_K___Mithoon,_Sayeed_Quadri(256k).mp3"
aaj_ki_raat,romantic,"aaj_ki_raat.mp3"
Ghungroo_Song_,happy,"Ghungroo_Song___WAR___Hrithik_Roshan,_Vaani_Kapoor___Arijit_Singh,_Shilpa___Vishal___Shekhar,_Kumaar(256k).mp3"
_Baaton_Ko_Teri,sad song,"sad song/_Baaton_Ko_Teri__Full_AUDIO_Song___Arijit_Singh___Abhishek_Bachchan,_Asin___T-Series(256k).mp3"
